,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
0,1.0,San Tomas - South,97782.0,8.0,12.0,15.0,65.0,6.0,14.0,32.0,48.0,20.0,1.0,83.0,140.3,135.8,39.0,29.8,29.05,27.2,31.9,19.9,18.6,10.5,7.0,8.0,35.0,77.0,6.5,10% to 11%,16% to 20%,17% to 22%,10% to 15%
1,2.0,Winchester East,90762.0,4.0,14.0,27.5,65.0,4.0,14.0,30.0,53.0,18.0,2.0,83.0,141.4,137.9,39.0,29.8,29.05,27.2,31.9,19.9,18.6,13.3,6.0,9.0,35.0,75.0,17.0,13% to 16%,15% to 16%,17% to 22%,6% to 8%
2,5.0,Cupertino - Northside,129900.0,10.0,14.0,27.5,65.0,4.0,6.0,15.0,76.0,10.0,5.0,87.0,93.4,96.7,39.0,29.8,29.05,27.2,31.9,19.9,18.6,9.9,6.0,8.0,28.0,80.0,1.0,8% to 10%,1% to 15%,11% to 17%,0% to 6%
3,6.0,Cupertino - Southside,146059.0,5.0,8.0,27.5,65.0,11.0,7.0,12.0,79.0,7.0,6.0,86.0,109.8,144.2,39.0,29.8,29.05,27.2,31.9,19.9,18.6,5.6,3.0,7.0,26.0,77.0,1.1,3% to 8%,1% to 15%,0% to 11%,0% to 6%
4,7.0,Cupertino - Westside,155827.0,8.0,14.0,27.5,65.0,3.0,6.0,14.0,78.0,9.0,7.0,86.0,107.0,101.1,50.7,25.2,17.6,21.9,31.9,19.9,15.7,5.0,6.0,9.0,21.0,79.0,0.9,3% to 8%,1% to 15%,0% to 11%,0% to 6%
5,8.0,Gilroy - East Side,36316.0,14.0,61.0,84.0,65.0,45.0,23.0,22.0,10.0,68.0,8.0,79.0,120.0,151.8,65.5,29.8,29.05,27.2,31.9,19.9,18.6,20.9,7.0,10.0,58.0,68.0,54.0,10% to 11%,23% to 31%,11% to 17%,10% to 15%
6,9.0,Gilroy - North Central,70068.0,14.0,30.0,43.0,65.0,26.0,19.0,33.0,22.0,45.0,9.0,81.0,154.3,153.3,39.0,29.8,29.05,27.2,31.9,19.9,18.6,17.5,6.0,10.0,57.0,74.0,41.2,11% to 13%,23% to 31%,26% to 38%,10% to 15%
7,10.0,Gilroy - South Central,76000.0,10.0,26.0,48.0,65.0,26.0,18.0,34.0,22.0,44.0,10.0,82.0,145.3,161.7,46.7,29.8,29.05,27.2,41.6,19.9,18.6,15.0,7.0,12.0,50.0,74.0,42.7,10% to 11%,23% to 31%,22% to 26%,10% to 15%
8,11.0,Gilroy - West Side,103075.0,8.0,13.0,27.5,65.0,8.0,19.0,34.0,39.0,27.0,11.0,82.0,136.7,182.9,52.2,29.8,44.6,27.2,31.9,19.9,18.6,12.0,9.0,12.0,49.0,79.0,9.8,8% to 10%,23% to 31%,22% to 26%,10% to 15%
9,12.0,Los Altos - North,156667.0,4.0,14.0,27.5,84.0,11.0,5.0,13.0,81.0,5.0,12.0,88.0,112.2,86.9,39.0,29.8,29.05,27.2,31.9,19.9,18.6,6.7,6.0,10.0,19.0,88.0,0.0,3% to 8%,1% to 15%,0% to 11%,0% to 6%
10,13.0,Los Altos - South,167104.0,6.0,4.0,27.5,95.0,11.0,5.0,15.0,78.0,5.0,13.0,88.0,112.2,86.9,39.0,29.8,29.05,27.2,31.9,19.9,18.6,6.4,9.0,12.0,19.0,85.0,0.0,3% to 8%,1% to 15%,0% to 11%,0% to 6%
11,14.0,Foothills,258092.0,5.0,14.0,27.5,65.0,11.0,3.0,11.0,84.0,3.0,14.0,84.0,138.3,107.7,39.0,45.2,29.05,27.0,37.9,19.9,18.6,4.3,5.0,8.0,16.0,87.0,0.0,3% to 8%,1% to 15%,0% to 11%,0% to 6%
12,17.0,Milpitas - Northeastern,86341.0,10.0,15.0,19.0,65.0,18.0,19.0,27.0,36.0,37.0,17.0,84.0,118.2,112.7,39.0,29.8,29.05,27.2,31.9,19.9,18.6,11.5,10.0,10.0,39.0,69.0,12.4,8% to 10%,16% to 20%,22% to 26%,10% to 15%
13,18.0,Milpitas - Northwestern,78910.0,10.0,13.0,27.5,65.0,10.0,18.0,27.0,44.0,28.0,18.0,85.0,136.7,92.0,39.0,29.8,29.05,27.2,31.9,19.9,18.6,13.4,8.0,9.0,35.0,71.0,13.2,8% to 10%,16% to 20%,22% to 26%,8% to 10%
14,19.0,Milpitas - Southeastern,101409.0,10.0,15.0,22.0,65.0,17.0,18.0,26.0,39.0,35.0,19.0,83.0,145.2,126.8,39.0,29.8,29.05,36.6,31.9,19.9,18.6,13.4,7.0,10.0,33.0,70.0,17.4,8% to 10%,16% to 20%,17% to 22%,10% to 15%
15,20.0,Milpitas - Southwestern,114422.0,5.0,12.0,14.0,65.0,13.0,15.0,23.0,48.0,28.0,20.0,84.0,104.3,127.1,39.0,29.8,29.05,27.2,31.9,19.9,18.6,16.8,9.0,10.0,31.0,74.0,13.4,11% to 13%,16% to 20%,17% to 22%,8% to 10%
16,21.0,Morgan Hill - Eastern,120824.0,8.0,13.0,19.0,65.0,9.0,16.0,31.0,44.0,25.0,21.0,83.0,145.8,148.9,53.1,29.8,29.05,27.2,31.9,19.9,18.6,10.1,6.0,11.0,41.0,77.0,13.8,3% to 8%,20% to 23%,11% to 17%,6% to 8%
17,22.0,Morgan Hill - Southern,82298.0,11.0,21.0,32.0,65.0,12.0,21.0,34.0,32.0,33.0,22.0,82.0,165.3,142.6,42.1,39.0,36.5,27.2,31.9,19.9,18.6,13.4,6.0,9.0,50.0,77.0,21.4,10% to 11%,23% to 31%,17% to 22%,8% to 10%
18,23.0,Morgan Hill - Western,87892.0,10.0,20.0,29.0,65.0,15.0,19.0,30.0,36.0,34.0,23.0,83.0,125.4,144.8,41.4,33.0,42.8,27.2,29.0,19.9,18.6,12.4,5.0,9.0,48.0,74.0,22.9,10% to 11%,23% to 31%,11% to 17%,8% to 10%
