StreetName,FullAddress,Post_Code,County,Lat,Long,Nbrhd_Comm
Cherry,1532 Cherry Ave Unit 2,95125.0,Santa Clara,37.2979064,-121.9028536,
Almaden,1 Almaden Blvd 1150,95113.0,Santa Clara,37.33337865,-121.8955318,
Julian,1 E Julian St Unit 322,95112.0,Santa Clara,37.34123167,-121.8937966,
Branham,100 Branham Ln E Unit 1207,95111.0,Santa Clara,37.26833822,-121.8224349,
Minnesota,1055 Minnesota Ave Ofc 7,95125.0,Santa Clara,37.30429727,-121.8966047,
McLaughlin,1739 McLaughlin Ave Unit A,95122.0,Santa Clara,37.32510716,-121.8467298,
McLaughlin,1739 McLaughlin Ave Unit B,95122.0,Santa Clara,37.32508009,-121.8466949,
McLaughlin,1739 McLaughlin Ave Unit C,95122.0,Santa Clara,37.32510795,-121.846661,
McLaughlin,1739 McLaughlin Ave Unit D,95122.0,Santa Clara,37.32508049,-121.8466605,
McLaughlin,1739 McLaughlin Ave Unit F,95122.0,Santa Clara,37.32510755,-121.8466954,
Mirassou,1739 Mirassou Pl,95124.0,Santa Clara,37.24298141,-121.9106178,
Montemar,1739 Montemar Way,95125.0,Santa Clara,37.29073112,-121.9164898,
Mt Rushmore,1739 Mt Rushmore Dr,95127.0,Santa Clara,37.34959331,-121.8034776,
1st,1739 N 1st St,95112.0,Santa Clara,37.36889241,-121.9150339,
Minnesota,1055 Minnesota Ave Ofc 8,95125.0,Santa Clara,37.304319,-121.896629,
Old Piedmont,1739 Old Piedmont Rd,95132.0,Santa Clara,37.41247577,-121.8512926,
Parkdale,1739 Parkdale Way,95127.0,Santa Clara,37.34589562,-121.8112861,
Parkview Green,1739 Parkview Green Cir,95131.0,Santa Clara,37.37856263,-121.8829995,
Piedmont,1739 Piedmont Rd,95132.0,Santa Clara,37.41164795,-121.8539687,
Pine Hollow,1739 Pine Hollow Cir,95133.0,Santa Clara,37.36783119,-121.8611435,
Quimby,1739 Quimby Rd,95122.0,Santa Clara,37.32883744,-121.8211763,
Ravens Place,1739 Ravens Place Way,95121.0,Santa Clara,37.30114368,-121.805459,
Rigoletto,1739 Rigoletto Dr,95122.0,Santa Clara,37.31928709,-121.8219562,
Minnesota,1055 Minnesota Ave Ofc 9,95125.0,Santa Clara,37.30435481,-121.8966644,
Ross,1739 Ross Cir Unit 1,95124.0,Santa Clara,37.25260999,-121.9115914,
Ross,1739 Ross Cir Unit 2,95124.0,Santa Clara,37.25260958,-121.9116257,
Ross,1739 Ross Cir Unit 3,95124.0,Santa Clara,37.25258253,-121.9115909,
Ross,1739 Ross Cir Unit 4,95124.0,Santa Clara,37.25258212,-121.9116252,
Samson,1739 Samson Ct,95124.0,Santa Clara,37.25370863,-121.9121516,
San Tomas Aquino,1739 San Tomas Aquino Rd,95130.0,Santa Clara,37.29137563,-121.9769472,
Septembersong,1739 Septembersong Ct,95131.0,Santa Clara,37.37869882,-121.8754264,
Shasta,1739 Shasta Ave,95128.0,Santa Clara,37.32506471,-121.9238745,
Silvertree,1739 Silvertree Dr,95131.0,Santa Clara,37.39290503,-121.8825178,
Springsong,1739 Springsong Dr,95131.0,Santa Clara,37.37660794,-121.8740712,
Moongate,1055 Moongate Pl,95120.0,Santa Clara,37.21284149,-121.8483146,
Sundown,1739 Sundown Ln,95127.0,Santa Clara,37.34382456,-121.8147605,
Swanston,1739 Swanston Way,95132.0,Santa Clara,37.40555701,-121.8707368,
Valpico,1739 Valpico Dr,95124.0,Santa Clara,37.27513728,-121.911746,
San Carlos,1739 W San Carlos St,95128.0,Santa Clara,37.32389884,-121.9230608,
Westhaven,1739 Westhaven Dr,95132.0,Santa Clara,37.40614072,-121.8610035,
Whispering Willow,1739 Whispering Willow Pl,95125.0,Santa Clara,37.29288051,-121.9118109,
Willow Creek,1739 Willow Creek Ct,95124.0,Santa Clara,37.27157394,-121.9127726,
Acacia,174 Acacia St,95110.0,Santa Clara,37.34577289,-121.9016074,
Acacia,174 Acacia St B,95110.0,Santa Clara,37.34580136,-121.9016296,
Morse,1055 Morse St,95126.0,Santa Clara,37.34136551,-121.9286837,
Espana,174 Avenida Espana,95139.0,Santa Clara,37.2226321,-121.7673283,
Banana Grove,174 Banana Grove Ln,95123.0,Santa Clara,37.25773808,-121.8245686,
Monterey,6130 Monterey Rd Spc 174,95138.0,Santa Clara,37.23867943,-121.7678003,
Blossom Hill,174 Blossom Hill Rd,95123.0,Santa Clara,37.25105983,-121.8110916,
Blossom,174 Blossom Way,95123.0,Santa Clara,37.25284344,-121.8114113,
Brill,174 Brill Ct,95116.0,Santa Clara,37.36375808,-121.8442731,
Brooklyn,174 Brooklyn Ave,95128.0,Santa Clara,37.32644986,-121.9285819,
Burning Tree,174 Burning Tree Dr,95119.0,Santa Clara,37.2269557,-121.7786327,
Alondra,174 Calle Alondra Rd,95111.0,Santa Clara,37.25825344,-121.8023163,
Castillon,174 Castillon Way,95119.0,Santa Clara,37.23225409,-121.7929048,
Mountain Shadows,1055 Mountain Shadows Rd,95120.0,Santa Clara,37.20181169,-121.8348082,
Cedarwood,174 Cedarwood Dr,95131.0,Santa Clara,37.39902789,-121.906619,
Chateau La Salle,174 Chateau La Salle Dr,95111.0,Santa Clara,37.29463185,-121.8551817,
Checkers,174 Checkers Dr,95116.0,Santa Clara,37.35861381,-121.852708,
Cheltenham,174 Cheltenham Pl,95139.0,Santa Clara,37.22107902,-121.7641816,
Cheryl Beck,174 Cheryl Beck Dr,95119.0,Santa Clara,37.23912089,-121.7963507,
Chynoweth,174 Chynoweth Ave,95136.0,Santa Clara,37.25839897,-121.8245481,
Clayton,174 Clayton Ave,95110.0,Santa Clara,37.3426462,-121.899348,
Coffeeberry,174 Coffeeberry Dr,95123.0,Santa Clara,37.23894,-121.8060204,
Nevada,1055 Nevada Ave,95125.0,Santa Clara,37.30226086,-121.8940017,
Colonade,174 Colonade Sq,95127.0,Santa Clara,37.36135714,-121.8306577,
Component,174 Component Dr,95131.0,Santa Clara,37.38414695,-121.9223664,
Damsen,174 Damsen Dr,95116.0,Santa Clara,37.36305573,-121.8455396,
Danze,174 Danze Dr,95111.0,Santa Clara,37.25989064,-121.8040878,
Younger,174 E Younger Ave,95112.0,Santa Clara,37.35684826,-121.900745,
El Bosque,174 El Bosque St,95134.0,Santa Clara,37.41404846,-121.9420043,
Fleming,174 Fleming Ct,95127.0,Santa Clara,37.37441729,-121.8174634,
Goldenrain,174 Goldenrain Dr,95111.0,Santa Clara,37.26893365,-121.8180724,
Herlong,174 Herlong Ave,95123.0,Santa Clara,37.2436353,-121.807963,
Nevada,1055 Nevada Ave 1/2,95125.0,Santa Clara,37.30219203,-121.8939596,
Hobson,174 Hobson St,95110.0,Santa Clara,37.34523409,-121.9012232,
Hollywood,174 Hollywood Ave,95112.0,Santa Clara,37.31918981,-121.873898,
Iris Blossom,174 Iris Blossom Ct,95123.0,Santa Clara,37.25248403,-121.8139722,
Kayak,174 Kayak Dr,95111.0,Santa Clara,37.26267849,-121.8079021,
Kehoe,174 Kehoe Ct,95136.0,Santa Clara,37.26216917,-121.8291765,
Knightshaven,174 Knightshaven Way,95111.0,Santa Clara,37.27285281,-121.8174582,
Magellan,174 Magellan Ave,95116.0,Santa Clara,37.35717618,-121.8561394,
Millar,174 Millar Ave,95127.0,Santa Clara,37.36565465,-121.8227501,
Monte Verano,174 Monte Verano Ct,95116.0,Santa Clara,37.36200877,-121.8400627,
Newhall,1055 Newhall St,95126.0,Santa Clara,37.34506448,-121.9266719,
Mountain Springs,174 Mountain Springs Dr,95136.0,Santa Clara,37.28219817,-121.8646314,
Mountain View,174 Mountain View Ave,95127.0,Santa Clara,37.37960698,-121.8228435,
Muirfield,174 Muirfield Dr,95116.0,Santa Clara,37.35758313,-121.8381911,
14th,174 N 14th St,95112.0,Santa Clara,37.34499814,-121.878808,
16th,174 N 16th St,95112.0,Santa Clara,37.34601974,-121.8768918,
17th,174 N 17th St,95112.0,Santa Clara,37.34641004,-121.8760521,
18th,174 N 18th St,95112.0,Santa Clara,37.34690454,-121.8752031,
24th,174 N 24th St,95116.0,Santa Clara,37.34942348,-121.8697508,
Buena Vista,174 N Buena Vista Ave,95126.0,Santa Clara,37.32549062,-121.9188953,
Barletta,3124 Barletta Ln,95127.0,Santa Clara,37.37099229,-121.8311678,
Niguel,1055 Niguel Ln,95138.0,Santa Clara,37.24226189,-121.7643458,
Noyo,174 Noyo Dr,95123.0,Santa Clara,37.24506339,-121.8089156,
Oak Brook,174 Oak Brook Cir,95139.0,Santa Clara,37.22376477,-121.7754178,
Obert,174 Obert Dr,95136.0,Santa Clara,37.2614483,-121.8288795,
October,174 October Dr,95138.0,Santa Clara,37.25115343,-121.7930703,
Page Mill,174 Page Mill Dr,95111.0,Santa Clara,37.26465323,-121.8114777,
Rainier,174 Rainier St,95126.0,Santa Clara,37.32723869,-121.9091856,
Revey,174 Revey Ave,95128.0,Santa Clara,37.32542929,-121.9345894,
Rio De Lata,174 Rio De Lata,95121.0,Santa Clara,37.30302374,-121.8138942,
Roundtable,174 Roundtable Dr,95111.0,Santa Clara,37.26066143,-121.8038236,
Branham,100 Branham Ln E Unit 1208,95111.0,Santa Clara,37.26841719,-121.8223169,
Noble,1055 Noble Ln,95132.0,Santa Clara,37.39490318,-121.836381,
Blossom Hill,165 Blossom Hill Rd Spc 174,95123.0,Santa Clara,37.25278944,-121.8097783,
13th,174 S 13th St,95112.0,Santa Clara,37.33939793,-121.8757679,
26th,174 S 26th St,95116.0,Santa Clara,37.34505454,-121.8634838,
Capitol,174 S Capitol Ave,95127.0,Santa Clara,37.36030406,-121.8329212,
Sun Blossom,174 Sun Blossom Dr,95123.0,Santa Clara,37.25477655,-121.8129898,
Sun Ridge,174 Sun Ridge Ln,95123.0,Santa Clara,37.24785669,-121.8572088,
Sunol,174 Sunol St,95126.0,Santa Clara,37.32718557,-121.9060483,
Sunwood Meadows,174 Sunwood Meadows Pl,95119.0,Santa Clara,37.22792462,-121.7737101,
Sutter,174 Sutter St,95110.0,Santa Clara,37.32138414,-121.8833609,
Truckee,174 Truckee Ln,95136.0,Santa Clara,37.27363991,-121.8393814,
2nd,1055 N 2nd St,95112.0,Santa Clara,37.35620254,-121.9045197,
Venado,174 Venado Way,95123.0,Santa Clara,37.24868722,-121.8104417,
Viewmont,174 Viewmont Ave,95127.0,Santa Clara,37.36690804,-121.8219139,
Virginia,1748 Virginia Ave Unit 1,95116.0,Santa Clara,37.34543758,-121.8467095,
Virginia,1748 Virginia Ave Unit 10,95116.0,Santa Clara,37.34543719,-121.8467439,
Virginia,1748 Virginia Ave Unit 11,95116.0,Santa Clara,37.34543679,-121.8467783,
Virginia,1748 Virginia Ave Unit 2,95116.0,Santa Clara,37.3454364,-121.8468127,
Virginia,1748 Virginia Ave Unit 3,95116.0,Santa Clara,37.345436,-121.8468471,
Virginia,1748 Virginia Ave Unit 4,95116.0,Santa Clara,37.34546022,-121.8467314,
Virginia,1748 Virginia Ave Unit 5,95116.0,Santa Clara,37.34545982,-121.8467658,
Virginia,1748 Virginia Ave Unit 6,95116.0,Santa Clara,37.34545943,-121.8468002,
4th,1055 N 4th St,95112.0,Santa Clara,37.35777347,-121.9026706,
Virginia,1748 Virginia Ave Unit 7,95116.0,Santa Clara,37.34545903,-121.8468346,
Virginia,1748 Virginia Ave Unit 8,95116.0,Santa Clara,37.34545864,-121.846869,
Virginia,1748 Virginia Ave Unit 9,95116.0,Santa Clara,37.34541757,-121.8467244,
Weber,174 Weber St,95111.0,Santa Clara,37.29045971,-121.8439555,
Wyandotte,174 Wyandotte Dr,95123.0,Santa Clara,37.24437155,-121.8076644,
Yasou Demas,174 Yasou Demas Way,95119.0,Santa Clara,37.23914268,-121.7948338,
Abington,1740 Abington Ct,95131.0,Santa Clara,37.37523388,-121.8721191,
Alberta,1740 Alberta Ave,95125.0,Santa Clara,37.29849913,-121.8909604,
Arbor,1740 Arbor Dr,95125.0,Santa Clara,37.30217724,-121.8832839,
Arroyo De Oro,1740 Arroyo De Oro,95116.0,Santa Clara,37.35864974,-121.8584611,
5th,1055 N 5th St,95112.0,Santa Clara,37.35807121,-121.9015779,
Balsa,1740 Balsa Ave,95124.0,Santa Clara,37.27227238,-121.9130891,
Barberry,1740 Barberry Ln,95122.0,Santa Clara,37.31406698,-121.8160367,
Berrywood,1740 Berrywood Dr,95133.0,Santa Clara,37.35952341,-121.8604738,
Bevin Brook,1740 Bevin Brook Dr,95112.0,Santa Clara,37.31926017,-121.8550532,
Birch Lake,1740 Birch Lake Ct,95131.0,Santa Clara,37.38478157,-121.8925816,
Blackford,1740 Blackford Ln,95125.0,Santa Clara,37.29790486,-121.9165581,
Braddock,1740 Braddock Ct,95125.0,Santa Clara,37.29492477,-121.92309,
Cabana,1740 Cabana Dr,95125.0,Santa Clara,37.28759813,-121.9166811,
Cape Misty,1740 Cape Misty Dr,95133.0,Santa Clara,37.374551,-121.8709919,
Cassiar,1740 Cassiar Dr,95130.0,Santa Clara,37.29109033,-121.9752835,
7th,1055 N 7th St,95112.0,Santa Clara,37.35914698,-121.8994344,
Castlegate,1740 Castlegate Dr,95132.0,Santa Clara,37.40531853,-121.8615842,
Chesterton,1740 Chesterton Cir,95133.0,Santa Clara,37.37246231,-121.8718233,
Cleveland,1740 Cleveland Ave,95126.0,Santa Clara,37.32869683,-121.9273957,
Cooley,1740 Cooley Dr,95116.0,Santa Clara,37.34839338,-121.8491978,
De Marietta,1740 De Marietta Ave Unit 1,95126.0,Santa Clara,37.30273303,-121.9242828,
De Marietta,1740 De Marietta Ave Unit 2,95126.0,Santa Clara,37.30273303,-121.9243204,
De Marietta,1740 De Marietta Ave Unit 3,95126.0,Santa Clara,37.30270316,-121.9242828,
De Marietta,1740 De Marietta Ave Unit 4,95126.0,Santa Clara,37.30270316,-121.924315,
William,1740 E William St,95116.0,Santa Clara,37.34867271,-121.8502344,
Capitol,1055 N Capitol Ave 1,95133.0,Santa Clara,37.38387583,-121.8580188,
Fabian,1740 Fabian Dr,95124.0,Santa Clara,37.27359085,-121.9120891,
Fallbrook,1740 Fallbrook Ave,95130.0,Santa Clara,37.29059546,-121.9837556,
Foxworthy,1740 Foxworthy Ave,95124.0,Santa Clara,37.26872875,-121.9126106,
Frobisher,1740 Frobisher Way,95124.0,Santa Clara,37.27856426,-121.9129162,
Fumia,1740 Fumia Ct,95131.0,Santa Clara,37.38958163,-121.8974548,
Galewood,1740 Galewood Ct,95133.0,Santa Clara,37.36060554,-121.8615392,
Hallmark,1740 Hallmark Ln,95124.0,Santa Clara,37.26133145,-121.9106631,
Harte,1740 Harte Dr,95124.0,Santa Clara,37.27524586,-121.9121057,
Hester,1740 Hester Ave,95128.0,Santa Clara,37.32503376,-121.9244928,
Capitol,1055 N Capitol Ave 10,95133.0,Santa Clara,37.38363727,-121.8583746,
Home Gate,1740 Home Gate Dr,95148.0,Santa Clara,37.34106102,-121.8186567,
Isabel,1740 Isabel Dr,95125.0,Santa Clara,37.30048152,-121.9167417,
Junction,1740 Junction Ave,95112.0,Santa Clara,37.37468635,-121.9047907,
Junction,1740 Junction Ave Ste A,95112.0,Santa Clara,37.37471423,-121.9047568,
Junction,1740 Junction Ave Ste B,95112.0,Santa Clara,37.37471381,-121.9047913,
Junction,1740 Junction Ave Ste C,95112.0,Santa Clara,37.37468718,-121.9047219,
Junction,1740 Junction Ave Ste D,95112.0,Santa Clara,37.37468676,-121.9047563,
Laurelwood,1740 Laurelwood Dr,95125.0,Santa Clara,37.2823757,-121.9111241,
Lincoln,1740 Lincoln Ave,95125.0,Santa Clara,37.29798186,-121.8927705,
Marigold,1740 Marigold Ct,95133.0,Santa Clara,37.36007824,-121.8610287,
Capitol,1055 N Capitol Ave 100,95133.0,Santa Clara,37.38298633,-121.8596912,
Marina,1740 Marina Way,95125.0,Santa Clara,37.29168577,-121.9167013,
Maysong,1740 Maysong Ct,95131.0,Santa Clara,37.37772076,-121.8745187,
Minas De Oro,1740 Minas De Oro,95116.0,Santa Clara,37.35820874,-121.8577246,
